Follower_ID,Run_Index,Tmax,Alpha,Beta,Wc,Gamma1,Gamma2,Wm,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,Duration,source,Gamma
118,30,4.812706321646671,0.6418708523702048,2.3048764854615413,108756.7337180782,0.814531561002761,2.0750703379222,3.51883764371641,1815.1525437057617,60.42411480611339,7.773294977428387,6.798324133729444,1.4636769844565904,0.0582290877034682,16133.238653232276,0.894756201250658,1815.1525437057617,26.6,I294l2,1.4448009494624805
229,42,3.5249155506721177,0.3892522837141764,2.358286478253456,93309.73795390312,1.954621152305325,1.7257049339374442,6.406592126727867,196.7563519930717,0.671964087899542,0.8197341568457069,0.7746313070593375,0.2975090169002957,0.0261206686769912,170.67887832648367,0.967714285237334,196.7563519930717,25.3,I294l2,1.8401630431213847
46,36,7.826111019168174,0.331744245497973,2.794084081641089,128742.56972240692,1.9153845529385756,1.6585326951311683,7.63558919712479,312.3650765309867,1.7183936715274326,1.3108751548211723,1.0808480156781546,0.3543969956690961,0.077320096737481,496.61577107142807,0.5599025021822236,312.3650765309867,28.8,I294l2,1.786958624034872
181,33,7.340006185330586,0.2824699685461647,4.194513476832609,129320.9366209785,1.5028125984934124,1.7820889066703374,4.212680329464171,479.5911752050984,6.00538808330885,2.450589333876415,1.9107218135661288,0.6114101690031989,0.0496581529014078,1507.3524089105215,0.9321222024684954,479.5911752050984,25.0,I294l2,1.6424507525818748
107,23,7.678340177870686,0.200832633226931,7.821906513345096,125306.76724875218,1.050410995427261,1.6643078062984775,4.265666961288691,76.21765595296314,0.3550715475846817,0.5958788027650268,0.6146585157497028,0.4072393230746074,0.0363163363653066,44.02887190050053,0.9537196789586192,76.21765595296314,12.4,I294l2,1.3573594008628693
90,29,7.410204709051469,0.3983879229376846,7.823271576458883,87966.89868891813,1.6638739074826854,1.7877379347021791,6.653390894619382,32.232834726786585,0.0383570013137906,0.1958494353164968,0.1953505134956762,0.1150961347214333,0.0178615208275919,6.328905216775459,0.9876501352345975,32.232834726786585,16.4,I294l2,1.7258059210924324
291,28,6.066993951613541,0.1374781071264409,8.082606424805709,103255.4988508888,1.9196981115018976,1.4553888829409247,3.0221852939776466,149.42639064145976,0.675597856281899,0.8219475994745036,0.7183961088531718,0.3252734871644294,0.0372026937973389,140.52435410663497,0.9527778307762516,149.42639064145976,20.700000000000003,I294l2,1.6875434972214112
218,35,5.713561123829854,0.5762145327940981,3.770062052117299,89059.06185349196,1.9886408677006908,1.9530841669707335,4.16702873910612,78.87249323987398,0.3532635356560594,0.5943597695470811,0.4381805179992999,0.2092364351584601,0.0401978744271255,63.58743641809069,0.9349159635586366,78.87249323987398,17.900000000000002,I294l2,1.9708625173357122
211,41,3.2999457506283165,0.1629941341187329,2.955962686467706,81995.7328888652,1.3954537528835111,2.075471569486696,4.3598550820339765,100.79504261602682,0.3712753175288822,0.6093236558093591,0.5599724589779268,0.2164430797707474,0.0281321070152802,66.8295571551988,0.9326197935670354,100.79504261602682,17.9,I294l2,1.7354626611851036
462,5,7.632455092688015,0.7942639904009607,6.491968816471845,64157.46393275811,1.6560815665421245,1.8698940164884563,7.51870206837769,456.3756131451632,4.396568108023457,2.096799491611789,1.8551854192892812,0.568197487519659,0.0500641600280023,1081.5557545737704,0.8891787606643685,456.3756131451632,24.5,I294l2,1.7629877915152905
72,38,6.41307852297135,0.3561637895076864,5.661695392598969,125011.74616016413,1.677306796896583,1.9973365243714516,2.34929368689743,272.22843837365355,3.3951426022529674,1.8425912737916044,1.2153055284538103,0.5951192715126612,0.0436355140758324,760.5119429046647,0.9065845784514024,272.22843837365355,22.3,I294l2,1.8373216606340173
694,1,6.332708725,0.463314144,4.402111634,83572.21737,1.40712488,1.810105364,5.170966638,1315.002938,9.902974959,3.146899261,2.373651513,3.434129559,0.041304773,5486.248127,0.937950989,1315.002938,55.3,I395,1.608615122
5741,1,1.962872197,0.266175831,4.652819477,78405.7974,0.262559888,0.548382294,7.224775551,2302.573435,16.57124744,4.070779709,3.969954198,2.178031839,0.02970843,9611.323514,0.96685803,2302.573435,57.9,I395,0.405471091
3758,1,7.147732564,0.010167529,7.638154635,77849.79668,1.743641928,1.367413051,7.407793942,750.9017135,8.795879017,2.965784722,2.536830113,3.954666814,0.040650106,2603.580189,0.934293867,750.9017135,29.5,I395,1.5555274895
10182,1,7.082951876,0.45493969,2.239780538,103956.0311,0.226099621,1.812611498,2.456207806,70.10889933,0.949197288,0.974267565,0.762053254,0.838974551,0.030746623,87.32615051,0.959215148,70.10889933,9.1,I395,1.0193555595000001
1416,1,7.647618598,0.477381117,6.201565496,122904.0464,2.012770799,1.825089199,4.074563101,115.5828176,0.332843256,0.576925694,0.451495381,1.10495756,0.023072816,85.20787364,0.984081441,115.5828176,25.5,I395,1.918929999
7299,1,2.969533981,0.266211392,2.923216516,98036.03348,1.952408139,1.701195861,7.722428505,2945.520092,56.88310918,7.542089179,6.24050867,5.454432996,0.066537879,26848.82754,0.914778759,2945.520092,47.1,I395,1.826802
8692,1,7.165668253,0.027692082,6.525841486,73248.36037,1.67541286,1.178127319,6.169600749,1475.159238,32.46444134,5.697757571,4.497436701,3.826866748,0.027417363,10648.33676,0.988735037,1475.159238,32.7,I395,1.4267700895
1779,1,2.091829582,0.365324349,3.565541416,75937.86473,0.525796068,0.108161299,4.743452074,1574.275714,32.70924048,5.719199286,5.622413264,4.84028591,0.043117569,9158.587334,0.976966171,1574.275714,27.9,I395,0.3169786835
4715,1,4.492470343,0.577692128,5.919266345,60740.41074,1.676237448,1.782544464,4.331260081,1327.622641,15.0440354,3.878664125,3.344137636,1.598360753,0.015972577,5972.482053,0.994126784,1327.622641,39.6,I395,1.729390956
4261,1,7.883005439,0.326563459,4.302314561,126791.5419,1.755207306,1.691223923,6.864912976,204.7892391,0.563361121,0.750573861,0.682630797,1.054022876,0.078654933,169.0083362,0.801928739,204.7892391,29.9,I395,1.7232156145
